1,Warszawa
2,Krakow
3,Lodz
4,Wroclaw
5,Poznan
6,Gdansk
7,Szczecin
8,Bydgoszcz
9,Lublin
10,Bialystok
11,Katowice
12,Gdynia
13,Czêstochowa
14,Radom
15,Sosnowiec
16,Torun
17,Kielce
18,Rzeszow
19,Gliwice
20,Zabrze
21,Olsztyn
22,Bielsko-Biala
23,Bytom
24,Ruda Slaska
25,Rybnik
26,Tychy
27,Dabrowa Gornicza
28,Opole
29,Gorzow Wielkopolski
30,Elblag
31,Plock
32,Walbrzych
33,Wloclawek
34,Tarnow
35,Chorzow
36,Koszalin
37,Kalisz
38,Legnica
39,Grudziadz
40,Slupsk
41,Jaworzno
42,Jastrzebie-Zdroj
43,Nowy Sacz
44,Jelenia Gora
45,Piotrkow Trybunalski
46,Inowroclaw
47,Lubin
48,Myslowice
49,Siedlce
50,Gniezno
